,original_title,year_of_release,genres,summary,actors,Movie_COL
1091,Jab We Met,2007,Comedy Drama Romance,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Shahid Kapoor,Jab We Met Comedy Drama Romance A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman. Shahid Kapoor
1092,Good Boy Bad Boy,2007,Comedy Musical Romance,Two college students exchange their classes after the college management mixed their identical names by mistake.,Tusshar Kapoor,Good Boy Bad Boy Comedy Musical Romance Two college students exchange their classes after the college management mixed their identical names by mistake. Tusshar Kapoor
1093,Fool N Final,2007,Action Comedy Crime,A bunch of misfits and gangsters embarks on a journey to find a lost and stolen diamond.,Shahid Kapoor,Fool N Final Action Comedy Crime A bunch of misfits and gangsters embarks on a journey to find a lost and stolen diamond. Shahid Kapoor
1094,Khoya Khoya Chand,2007,Drama Romance,Circa 1960s Lucknow-based author Zafar Ali Naqvi  who has issues with his father and his four wives  including the 4th one who lusts after him  re-locates to Bombay  starts writing for ...                    ,Shiney Ahuja,Khoya Khoya Chand Drama Romance Circa 1960s Lucknow-based author Zafar Ali Naqvi  who has issues with his father and his four wives  including the 4th one who lusts after him  re-locates to Bombay  starts writing for ...                     Shiney Ahuja
1095,Johnny Gaddaar,2007,Crime Drama Mystery,Police officers recount a tale of missing money which results in lies  deceit  betrayal and death.,Dharmendra,Johnny Gaddaar Crime Drama Mystery Police officers recount a tale of missing money which results in lies  deceit  betrayal and death. Dharmendra
1096,Just Married: Marriage Was Only the Beginning!,2007,Comedy Drama Romance,A newly-married couple discover they are incompatible.,Fardeen Khan,Just Married: Marriage Was Only the Beginning! Comedy Drama Romance A newly-married couple discover they are incompatible. Fardeen Khan
1097,Kya Love Story Hai,2007,Comedy Drama Romance,The story of a woman's plan to find and marry a successful and self-made male.,Tusshar Kapoor,Kya Love Story Hai Comedy Drama Romance The story of a woman's plan to find and marry a successful and self-made male. Tusshar Kapoor
1098,Kudiyon Ka Hai Zamaana,2006,Comedy,Mayuri  Kanika  Natasha  and Anjali have been friends for many years. All of them come from very wealthy families. While Mayuri has been married 4 times  she still has feelings for her ...                    ,Rekha,Kudiyon Ka Hai Zamaana Comedy Mayuri  Kanika  Natasha  and Anjali have been friends for many years. All of them come from very wealthy families. While Mayuri has been married 4 times  she still has feelings for her ...                     Rekha
1099,Hastey Hastey Follow Your Heart,2008,Comedy Drama,A colorful  energetic and humorous depiction of how globalization and technology have made the world a really small place.,Jimmy Sheirgill,Hastey Hastey Follow Your Heart Comedy Drama A colorful  energetic and humorous depiction of how globalization and technology have made the world a really small place. Jimmy Sheirgill
1100,Laaga Chunari Mein Daag: Journey of a Woman,2007,Drama Family Romance,A small town girl lands in big bad Mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams.,Rani Mukerji,Laaga Chunari Mein Daag: Journey of a Woman Drama Family Romance A small town girl lands in big bad Mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams. Rani Mukerji
1101,Life in a Metro,2007,Comedy Drama Romance,Six different stories  about nine people  each with different issues and problems  all occurring within one place: the METRO.,Dharmendra,Life in a Metro Comedy Drama Romance Six different stories  about nine people  each with different issues and problems  all occurring within one place: the METRO. Dharmendra
1102,Loins of Punjab Presents,2007,Comedy Music,A ruthless philantrophist. A bhangra rapper. An over-protected prodigy. A reckless actress. A lovelorn businessman. An entrepreneurial yogi. And a Loin King. Enter a roller-coaster world of...                    ,Shabana Azmi,Loins of Punjab Presents Comedy Music A ruthless philantrophist. A bhangra rapper. An over-protected prodigy. A reckless actress. A lovelorn businessman. An entrepreneurial yogi. And a Loin King. Enter a roller-coaster world of...                     Shabana Azmi
1103,Manorama Six Feet Under,2007,Crime Drama Mystery,Satyaveer accepts money from Manorama  wife of an irrigation minister  to collect evidence against her husband for having an extra-marital affair. He accepts  unaware that he too is being deceived.,Abhay Deol,Manorama Six Feet Under Crime Drama Mystery Satyaveer accepts money from Manorama  wife of an irrigation minister  to collect evidence against her husband for having an extra-marital affair. He accepts  unaware that he too is being deceived. Abhay Deol
1104,Marigold,2007,Comedy Romance,Ali Larter plays an American actress who becomes immersed in the Bollywood film world.,Salman Khan,Marigold Comedy Romance Ali Larter plays an American actress who becomes immersed in the Bollywood film world. Salman Khan
1105,MP3: Mera Pehla Pehla Pyaar,2007,Comedy Drama Musical,Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad  Shekhar  and mom  Renu. He attends St. Lawrence High School and is friendly with Vasu  Sudhir and Javed  and...                    ,Menekka Arora,MP3: Mera Pehla Pehla Pyaar Comedy Drama Musical Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad  Shekhar  and mom  Renu. He attends St. Lawrence High School and is friendly with Vasu  Sudhir and Javed  and...                     Menekka Arora
1106,Hattrick,2007,Comedy Drama Romance,Despite of cricket fever  there are two people in India who dislike it's influence over their lives. The first is Dr. Satyajit Chavan  who will not permit anyone in his home nor the ...                    ,Nana Patekar,Hattrick Comedy Drama Romance Despite of cricket fever  there are two people in India who dislike it's influence over their lives. The first is Dr. Satyajit Chavan  who will not permit anyone in his home nor the ...                     Nana Patekar
1107,Naqaab,2007,Crime Drama Romance,After Sophia D'Costa is stalked and attacked in Goa by Rakesh  she decides to re-locate to Dubai. Here she rents a room in a villa near Jumeirah Beach  owned by wealthy Karan Oberoi. Six ...                    ,Bobby Deol,Naqaab Crime Drama Romance After Sophia D'Costa is stalked and attacked in Goa by Rakesh  she decides to re-locate to Dubai. Here she rents a room in a villa near Jumeirah Beach  owned by wealthy Karan Oberoi. Six ...                     Bobby Deol
1108,Mumbai Salsa,2007,Comedy Drama,Maya Chandhok lives a wealthy lifestyle in Delhi along with her parents. Refusing to buckle down to her mother's demands to get married  she re-locates to Kolkata  obtains her MBA  and then...                    ,Linda Arsenio,Mumbai Salsa Comedy Drama Maya Chandhok lives a wealthy lifestyle in Delhi along with her parents. Refusing to buckle down to her mother's demands to get married  she re-locates to Kolkata  obtains her MBA  and then...                     Linda Arsenio
1109,The Namesake,2006,Drama,American-born Gogol  the son of Indian immigrants  wants to fit in among his fellow New Yorkers  despite his family's unwillingness to let go of their traditional ways.,Kal Penn,The Namesake Drama American-born Gogol  the son of Indian immigrants  wants to fit in among his fellow New Yorkers  despite his family's unwillingness to let go of their traditional ways. Kal Penn
