,original_title,year_of_release,genres,summary,actors,Movie_COL
223,A Gentleman,2017,Action Comedy,Gaurav  a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life.,Sidharth Malhotra,A Gentleman Action Comedy Gaurav  a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life. Sidharth Malhotra
224,Viceroy's House,2017,Biography Drama History,The final Viceroy of India  Lord Mountbatten  is tasked with overseeing the transition of British India to independence  but meets with conflict as different sides clash in the face of monumental change.,Hugh Bonneville,Viceroy's House Biography Drama History The final Viceroy of India  Lord Mountbatten  is tasked with overseeing the transition of British India to independence  but meets with conflict as different sides clash in the face of monumental change. Hugh Bonneville
225,Patel Ki Punjabi Shaadi,2017,Comedy,Comedy movie is about a Punjabi and Gujarati family. and their cultural clash. Gujarati is played by Paresh Rawal and Punjabi Played by Rishi Kapoor.,Rishi Kapoor,Patel Ki Punjabi Shaadi Comedy Comedy movie is about a Punjabi and Gujarati family. and their cultural clash. Gujarati is played by Paresh Rawal and Punjabi Played by Rishi Kapoor. Rishi Kapoor
226,Newton,2017,Drama,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,Rajkummar Rao,Newton Drama A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels. Rajkummar Rao
227,The Final Exit,2017,Horror,Caught in a surreal maze  a man tries to decode the mysterious hallucinations he's experiencing.,Kunaal Roy Kapur,The Final Exit Horror Caught in a surreal maze  a man tries to decode the mysterious hallucinations he's experiencing. Kunaal Roy Kapur
228,Bhoomi,2017,Action Drama,A single father battles injustice after his daughter is raped and the perpetrators are found not guilty.,Sunny Leone,Bhoomi Action Drama A single father battles injustice after his daughter is raped and the perpetrators are found not guilty. Sunny Leone
229,Haseena Parkar,2017,Biography Crime Thriller,This is the story of the slightly-less-notorious sister of a notorious gangster.,Shraddha Kapoor,Haseena Parkar Biography Crime Thriller This is the story of the slightly-less-notorious sister of a notorious gangster. Shraddha Kapoor
230,J.D.,2017,Drama,Based on the life and hardships faced by a journalist JD. He faced rape charges from his fellow journalist. Film also shows how politician use media for their own benefit.,Rina Charaniya,J.D. Drama Based on the life and hardships faced by a journalist JD. He faced rape charges from his fellow journalist. Film also shows how politician use media for their own benefit. Rina Charaniya
231,Haraamkhor,2015,Drama Romance,An unlikely love triangle unfolds when married professor  Shyam  has an illicit affair with his student  Sandhya  who in turn is trying to be wooed by her classmate Kamal. Haraamkhor is a prohibited love story witnessed by two adolescents.,Nawazuddin Siddiqui,Haraamkhor Drama Romance An unlikely love triangle unfolds when married professor  Shyam  has an illicit affair with his student  Sandhya  who in turn is trying to be wooed by her classmate Kamal. Haraamkhor is a prohibited love story witnessed by two adolescents. Nawazuddin Siddiqui
232,Poster Boys,2017,Comedy,Life of three men comes in trouble when their photos appear on advertisement for sterilization.,Sunny Deol,Poster Boys Comedy Life of three men comes in trouble when their photos appear on advertisement for sterilization. Sunny Deol
233,Mom,2017,Crime Drama Thriller,Devaki is a biology teacher at the same school attended by her stepdaughter Arya. Although  Devaki is a caring mother  Arya remains distant. One unfortunate night  Arya is brutally attacked...                    ,Sridevi,Mom Crime Drama Thriller Devaki is a biology teacher at the same school attended by her stepdaughter Arya. Although  Devaki is a caring mother  Arya remains distant. One unfortunate night  Arya is brutally attacked...                     Sridevi
234,Chef,2017,Comedy Drama Family,Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life.,Saif Ali Khan,Chef Comedy Drama Family Chef Roshan Kalra sets out to find the true source of happiness and reignite his passion for food while being more present in his son's life. Saif Ali Khan
235,Ranchi Diaries,2017,Thriller,An aspiring model  her friends and her godfather try to make it big in the small town of Ranchi.,Soundarya Sharma,Ranchi Diaries Thriller An aspiring model  her friends and her godfather try to make it big in the small town of Ranchi. Soundarya Sharma
236,Babuji Ek Ticket Bambai,2017,Comedy Drama,Add a Plot »,Sudha Chandran,Babuji Ek Ticket Bambai Comedy Drama Add a Plot » Sudha Chandran
237,Rukh,2017,Drama Mystery,After his father dies in a car accident  a boy rediscovers his lost connections and familial ties  confronting untold secrets and memories on his way.,Manoj Bajpayee,Rukh Drama Mystery After his father dies in a car accident  a boy rediscovers his lost connections and familial ties  confronting untold secrets and memories on his way. Manoj Bajpayee
238,Secret Superstar,2017,Drama Music,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,Zaira Wasim,Secret Superstar Drama Music A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral. Zaira Wasim
239,The House Next Door,2017,Horror,A young married couple begin to encounter several paranormal attacks  when a family moves into a neighbouring house  that is being haunted by a vengeful spirit  which leads them to perform an exorcism in order to help save the neighbours.,Prakash Belawadi,The House Next Door Horror A young married couple begin to encounter several paranormal attacks  when a family moves into a neighbouring house  that is being haunted by a vengeful spirit  which leads them to perform an exorcism in order to help save the neighbours. Prakash Belawadi
240,Ribbon,2017,Drama Family,A young working urban couple is overwhelmed with the birth of a baby girl and find that parenthood comes with its own challenges.,Kalki Koechlin,Ribbon Drama Family A young working urban couple is overwhelmed with the birth of a baby girl and find that parenthood comes with its own challenges. Kalki Koechlin
241,Shaadi Mein Zaroor Aana,2017,Drama Family Romance,Satyendra aka Sattu (Rajkummar Rao) and Aarti (Kriti Kharbanda) meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage  an unexpected turn of ...                    ,Rajkummar Rao,Shaadi Mein Zaroor Aana Drama Family Romance Satyendra aka Sattu (Rajkummar Rao) and Aarti (Kriti Kharbanda) meet for a proposed arranged marriage and fall in love in the process. On the night of their marriage  an unexpected turn of ...                     Rajkummar Rao
242,Jia aur Jia,2017,Drama,A story about two starkly different women that share the same name. Together  they embark on a life-changing journey heading towards the same fate.,Richa Chadha,Jia aur Jia Drama A story about two starkly different women that share the same name. Together  they embark on a life-changing journey heading towards the same fate. Richa Chadha
243,Qarib Qarib Singlle,2017,Comedy Romance,Yogi and Jaya  who have polar opposite personalities and sensibilities  meet via a online dating app. This encounter turns into so much more when the two travel to Rishikesh.,Irrfan Khan,Qarib Qarib Singlle Comedy Romance Yogi and Jaya  who have polar opposite personalities and sensibilities  meet via a online dating app. This encounter turns into so much more when the two travel to Rishikesh. Irrfan Khan
244,Aksar 2,2017,Crime Drama Mystery,A husband's plan to break up his marriage so that he can be with another woman backfires with unexpected consequences.,Zareen Khan,Aksar 2 Crime Drama Mystery A husband's plan to break up his marriage so that he can be with another woman backfires with unexpected consequences. Zareen Khan
245,Panchlait,2017,Drama,Set in either the 1950s or 1960s  Panchlait tells the story of a small village in North India that still has no electricity and its people live in darkness  engrossed in its own little ...                    ,Nayna Bandhopadhyay,Panchlait Drama Set in either the 1950s or 1960s  Panchlait tells the story of a small village in North India that still has no electricity and its people live in darkness  engrossed in its own little ...                     Nayna Bandhopadhyay
246,Tumhari Sulu,2017,Comedy Drama,Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit.,Vidya Balan,Tumhari Sulu Comedy Drama Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit. Vidya Balan
247,Julie 2,2017,Drama Romance,A simple girl rises to be a big star  but the story of her success is not without its dark side.,Nishikant Kamat,Julie 2 Drama Romance A simple girl rises to be a big star  but the story of her success is not without its dark side. Nishikant Kamat
248,Dark wind,2017,Drama,A blind old man and a young bank loan recovery agent  ironically both coming from two extreme weather conditions having zero contribution to the global climate change  fight for their ...                    ,Sanjay Mishra,Dark wind Drama A blind old man and a young bank loan recovery agent  ironically both coming from two extreme weather conditions having zero contribution to the global climate change  fight for their ...                     Sanjay Mishra
249,Firangi,2017,Comedy Drama,When there are disputes in life  love overcomes all challenges and truth prevails. Set in the colonial era  Firangi is the story of a mutiny staged by the villagers against the Britishers.,Kapil Sharma,Firangi Comedy Drama When there are disputes in life  love overcomes all challenges and truth prevails. Set in the colonial era  Firangi is the story of a mutiny staged by the villagers against the Britishers. Kapil Sharma
250,Fukrey Returns,2017,Comedy,Just out of jail  a don is ready to get back at the four friends who conned her.,Pulkit Samrat,Fukrey Returns Comedy Just out of jail  a don is ready to get back at the four friends who conned her. Pulkit Samrat
251,Monsoon Shootout,2013,Action Crime Drama,As heavy rains lash Mumbai  a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not.,Vijay Varma,Monsoon Shootout Action Crime Drama As heavy rains lash Mumbai  a cop on his first assignment faces a life altering decision when he must decide whether to shoot a suspect or not. Vijay Varma
252,Ajji,2017,Drama,Little Manda is found raped and dumped in a trash heap near her slum. Her parents are more concerned with survival than dignity. The cops are powerless to help as the rapist is a local ...                    ,Sushama Deshpande,Ajji Drama Little Manda is found raped and dumped in a trash heap near her slum. Her parents are more concerned with survival than dignity. The cops are powerless to help as the rapist is a local ...                     Sushama Deshpande
253,Chalk N Duster,2016,Drama,CHALK N DUSTER is an emotional journey of two teachers Vidya ( Shabana Azmi) & Jyoti ( Juhi Chawla)   serving at a Mumbai - based High School. Their passion and love for teaching  bonds ...                    ,Richa Chadha,Chalk N Duster Drama CHALK N DUSTER is an emotional journey of two teachers Vidya ( Shabana Azmi) & Jyoti ( Juhi Chawla)   serving at a Mumbai - based High School. Their passion and love for teaching  bonds ...                     Richa Chadha
254,Rebellious Flower,2016,Biography Drama,The film on the life of guru Osho Rajneesh and his spiritual journey to enlightenment.,Prince Shah,Rebellious Flower Biography Drama The film on the life of guru Osho Rajneesh and his spiritual journey to enlightenment. Prince Shah
255,Shackle,2015,Drama,The grim journey of the protagonists viz. Abeera (26 yrs) and Kesar (11 yrs) in under shade of this malpractice has been named SAANKAL (Shackle).,Tanima Bhattacharya,Shackle Drama The grim journey of the protagonists viz. Abeera (26 yrs) and Kesar (11 yrs) in under shade of this malpractice has been named SAANKAL (Shackle). Tanima Bhattacharya
256,Airlift,2016,Drama History,When Iraq invades Kuwait in August  1990  a callous Indian businessman becomes the spokesperson for more than 170 000 stranded countrymen.,Akshay Kumar,Airlift Drama History When Iraq invades Kuwait in August  1990  a callous Indian businessman becomes the spokesperson for more than 170 000 stranded countrymen. Akshay Kumar
257,Sallu Ki Shaadi,2017,Romance,Zeenat and Shahnawaz were a match made in movie theatre. They met in 1989  during a screening of Salman Khan's Maine Pyar Kiya  cupid struck swiftly and marital bliss followed. Everything ...                    ,Zeenat Aman,Sallu Ki Shaadi Romance Zeenat and Shahnawaz were a match made in movie theatre. They met in 1989  during a screening of Salman Khan's Maine Pyar Kiya  cupid struck swiftly and marital bliss followed. Everything ...                     Zeenat Aman
258,Saala Khadoos,2016,Action Drama Sport,The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her.,Madhavan,Saala Khadoos Action Drama Sport The story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her. Madhavan
259,Kyaa Kool Hain Hum 3,2016,Comedy,A porn actor uses his fellow adult movie stars in creating a fake traditional family  in order to impress his girlfriend's conservative father.,Tusshar Kapoor,Kyaa Kool Hain Hum 3 Comedy A porn actor uses his fellow adult movie stars in creating a fake traditional family  in order to impress his girlfriend's conservative father. Tusshar Kapoor
260,Mastizaade,2016,Comedy,Two womanizing bachelors fall in love with twin sisters who run a sex addiction clinic.,Tusshar Kapoor,Mastizaade Comedy Two womanizing bachelors fall in love with twin sisters who run a sex addiction clinic. Tusshar Kapoor
261,Dil Jo Na Keh Saka,2017,Romance,Starring Himansh Kohli and Priya Banerjee  a romantic drama that follows the story of two childhood friends who end up going separate ways to follow their dreams. Eventually  they return to...                    ,Himansh Kohli,Dil Jo Na Keh Saka Romance Starring Himansh Kohli and Priya Banerjee  a romantic drama that follows the story of two childhood friends who end up going separate ways to follow their dreams. Eventually  they return to...                     Himansh Kohli
262,Jugni,2016,Drama,Jugni (Firefly) is the beat of the soul  the free-flying spirit. Jugni is Vibhavari (Vibs). Vibs is a music director  working on her first big break in the Hindi film industry. When work ...                    ,Sadhana Singh,Jugni Drama Jugni (Firefly) is the beat of the soul  the free-flying spirit. Jugni is Vibhavari (Vibs). Vibs is a music director  working on her first big break in the Hindi film industry. When work ...                     Sadhana Singh
263,Ghayal Once Again,2016,Action Drama,When a video of his mentor's murder surfaces  an investigative journalist takes action to find those responsible.,Sunny Deol,Ghayal Once Again Action Drama When a video of his mentor's murder surfaces  an investigative journalist takes action to find those responsible. Sunny Deol
264,Fitoor,2016,Drama Romance,Modern adaptation of Charles Dickens' Great Expectations; a poor but talented boy falls in love with a girl from an affluent family.,Aditya Roy Kapoor,Fitoor Drama Romance Modern adaptation of Charles Dickens' Great Expectations; a poor but talented boy falls in love with a girl from an affluent family. Aditya Roy Kapoor
265,Sanam Re,2016,Drama Romance,A man focused on his career finds solace when he reunites with his childhood sweetheart.,Rishi Kapoor,Sanam Re Drama Romance A man focused on his career finds solace when he reunites with his childhood sweetheart. Rishi Kapoor
266,Direct Ishq,2016,Action Comedy Romance,Direct Ishq is a love triangle where Dolly Pandey is the common love interest of Kabeer Bajpai an event organiser and Vicky Shukla President of Kashi Vidyapeeth.,Rajniesh Duggall,Direct Ishq Action Comedy Romance Direct Ishq is a love triangle where Dolly Pandey is the common love interest of Kabeer Bajpai an event organiser and Vicky Shukla President of Kashi Vidyapeeth. Rajniesh Duggall
267,Ishq Forever,2016,Romance,The film stars Ruhi Singh as Rhea  a free-spirited girl  whose life turns upside down when her father gets appointed as the Prime Minister of India. The fiercely independent Rhea starts to ...                    ,Krishna Chaturvedi,Ishq Forever Romance The film stars Ruhi Singh as Rhea  a free-spirited girl  whose life turns upside down when her father gets appointed as the Prime Minister of India. The fiercely independent Rhea starts to ...                     Krishna Chaturvedi
268,LoveShhuda,2016,Comedy Romance,This story is about a man who drinks and wakes up in the morning with a girl whom he does not know. When he gradually starts to fall in love with her  he must choose between love and practicality.,Girish Taurani,LoveShhuda Comedy Romance This story is about a man who drinks and wakes up in the morning with a girl whom he does not know. When he gradually starts to fall in love with her  he must choose between love and practicality. Girish Taurani
269,Neerja,2016,Biography Drama Thriller,Neerja is the story of the courageous Neerja Bhanot  who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.,Sonam Kapoor,Neerja Biography Drama Thriller Neerja is the story of the courageous Neerja Bhanot  who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization. Sonam Kapoor
270,Aligarh,2015,Biography Drama,A gay  linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation.,Sukhesh Arora,Aligarh Biography Drama A gay  linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation. Sukhesh Arora
271,Bollywood Diaries,2016,Drama,The passionate journey of three Bollywood fanatics who wish to make it big in the industry.,Raima Sen,Bollywood Diaries Drama The passionate journey of three Bollywood fanatics who wish to make it big in the industry. Raima Sen
272,Love Shagun,2016,Comedy Romance,Love Shagun is a romantic comedy about seven different definitions of love where the definitions are the characters themselves. This film encompasses the menial insecurities of today's ...                    ,Anuj Sachdeva,Love Shagun Comedy Romance Love Shagun is a romantic comedy about seven different definitions of love where the definitions are the characters themselves. This film encompasses the menial insecurities of today's ...                     Anuj Sachdeva
273,Tere Bin Laden: Dead Or Alive,2016,Comedy,A Bollywood director is hired by an American talent agent to make a film on Osama bin Laden. The plan to use an Osama doppelganger in order to prove his death boomerangs when a Taliban arms dealer hijacks their idea to prove he's alive.,Parthaa Akerkar,Tere Bin Laden: Dead Or Alive Comedy A Bollywood director is hired by an American talent agent to make a film on Osama bin Laden. The plan to use an Osama doppelganger in order to prove his death boomerangs when a Taliban arms dealer hijacks their idea to prove he's alive. Parthaa Akerkar
274,Jai Gangaajal,2016,Crime Drama,A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,Priyanka Chopra,Jai Gangaajal Crime Drama A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her. Priyanka Chopra
275,Kapoor & Sons,2016,Comedy Drama Romance,A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse the family is undergoing a financial crunch and much more as the drama unfolds.,Sidharth Malhotra,Kapoor & Sons Comedy Drama Romance A story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse the family is undergoing a financial crunch and much more as the drama unfolds. Sidharth Malhotra
276,Rocky Handsome,2016,Action Thriller,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,John Abraham,Rocky Handsome Action Thriller A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter. John Abraham
277,Love Games,2016,Thriller,A pair of nymphomaniacs compete in seducing couples to sleep with them.,Patralekhaa Paul,Love Games Thriller A pair of nymphomaniacs compete in seducing couples to sleep with them. Patralekhaa Paul
278,Fan,2016,Action Drama Thriller,Gaurav develops an obsession with a movie star who looks just like him. He goes to Mumbai to meet his idol  but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero.,Shah Rukh Khan,Fan Action Drama Thriller Gaurav develops an obsession with a movie star who looks just like him. He goes to Mumbai to meet his idol  but he refuses to grant him five minutes of his time. Gaurav is enraged and plots to destroy his hero. Shah Rukh Khan
279,Nil Battey Sannata,2015,Drama Family,A story about a single women (a Mom) and dreams on her Daughter.,Swara Bhaskar,Nil Battey Sannata Drama Family A story about a single women (a Mom) and dreams on her Daughter. Swara Bhaskar
280,Laal Rang,2016,Action Crime Drama,The friendship of two men is tested when things go wrong in their blood theft business.,Randeep Hooda,Laal Rang Action Crime Drama The friendship of two men is tested when things go wrong in their blood theft business. Randeep Hooda
281,Baaghi,2016,Action Thriller,A martial arts student seeks revenge after the murder of his master.,Shraddha Kapoor,Baaghi Action Thriller A martial arts student seeks revenge after the murder of his master. Shraddha Kapoor
282,Global Baba,2016,Thriller,A conman finds refuge in becoming a baba and carries out his various criminal activities under the guise. A policeman  a journalist and politicians get entangled in his Web of deceit.,Pankaj Tripathi,Global Baba Thriller A conman finds refuge in becoming a baba and carries out his various criminal activities under the guise. A policeman  a journalist and politicians get entangled in his Web of deceit. Pankaj Tripathi
283,Shortcut Safari,2016,Adventure Drama Mystery,'Shortcut Safari' is about adventures of a group of 7 urban children  between ages 10 to 14 years  who get stuck in a deep  dense forest while returning from a day long trip organised by the Nature Club of their School.,Jimmy Sheirgill,Shortcut Safari Adventure Drama Mystery 'Shortcut Safari' is about adventures of a group of 7 urban children  between ages 10 to 14 years  who get stuck in a deep  dense forest while returning from a day long trip organised by the Nature Club of their School. Jimmy Sheirgill
284,The Blueberry Hunt,2016,Action Thriller,"The film centers on a recluse known as ""Colonel"" and the final five days when Colonel's plantation of a high potency variant of marijuana gets ready for harvest.",Kartik Elangovan,"The Blueberry Hunt Action Thriller The film centers on a recluse known as ""Colonel"" and the final five days when Colonel's plantation of a high potency variant of marijuana gets ready for harvest. Kartik Elangovan"
285,Santa Banta Pvt Ltd,2016,Comedy Crime Drama,Two friends and their sweet and endearing misadventures and one of these misadventures sees them land in the middle of a kidnapping investigation.,Boman Irani,Santa Banta Pvt Ltd Comedy Crime Drama Two friends and their sweet and endearing misadventures and one of these misadventures sees them land in the middle of a kidnapping investigation. Boman Irani
286,Traffic,2016,Adventure Drama Thriller,An emotional thriller based on a road trip from Mumbai to Pune. Inspired from the real events that happened in Chennai,Manoj Bajpayee,Traffic Adventure Drama Thriller An emotional thriller based on a road trip from Mumbai to Pune. Inspired from the real events that happened in Chennai Manoj Bajpayee
287,1920 London,2016,Horror Mystery,After her husband is possessed by an evil spirit  a woman turns to her former lover to perform an exorcism.,Sharman Joshi,1920 London Horror Mystery After her husband is possessed by an evil spirit  a woman turns to her former lover to perform an exorcism. Sharman Joshi
288,Azhar,2016,Biography Drama Sport,Biographical sports drama based on the life of former Indian international cricketer  Mohammad Azharuddin,Emraan Hashmi,Azhar Biography Drama Sport Biographical sports drama based on the life of former Indian international cricketer  Mohammad Azharuddin Emraan Hashmi
289,Buddha in a Traffic Jam,2016,Crime Thriller,Vikram Pandit (Arunoday Singh) a student of the Indian Institute of Business becomes the blue-eyed boy of Professor Jamshed Batki (Anupam Kher). Under Batki's influence Vikram starts public...                    ,Aanchal Dwivedi,Buddha in a Traffic Jam Crime Thriller Vikram Pandit (Arunoday Singh) a student of the Indian Institute of Business becomes the blue-eyed boy of Professor Jamshed Batki (Anupam Kher). Under Batki's influence Vikram starts public...                     Aanchal Dwivedi
290,Murari the Mad Gentleman,2016,Comedy Drama,The film hits hard on the superstitions present in the society through the comical situations in the life of a mental patient  based on things going on in Bihar rural areas. India's rural ...                    ,Sanjay Singh,Murari the Mad Gentleman Comedy Drama The film hits hard on the superstitions present in the society through the comical situations in the life of a mental patient  based on things going on in Bihar rural areas. India's rural ...                     Sanjay Singh
291,Dear Dad,2016,Drama Family,Dear Dad is a bittersweet coming of age story; involving a father-son duo 14 year old Shivam  and his 45 year old dad Nitin Swaminathan. The father-son duo embarks on an impromptu road trip...                    ,Arvind Swamy,Dear Dad Drama Family Dear Dad is a bittersweet coming of age story; involving a father-son duo 14 year old Shivam  and his 45 year old dad Nitin Swaminathan. The father-son duo embarks on an impromptu road trip...                     Arvind Swamy
292,Phobia,2016,Drama Mystery Thriller,An agoraphobic young woman  traumatized by past events  finds herself trapped and terrorized in her own home.,Radhika Apte,Phobia Drama Mystery Thriller An agoraphobic young woman  traumatized by past events  finds herself trapped and terrorized in her own home. Radhika Apte
293,Sarbjit,2016,Biography Drama,Biopic of Sarabjit Singh  a farmer residing at Bhikiwind  Punjab  near the Indo-Pak border  crossed the border after having a couple of drinks. However  he was mistaken to be an Indian spy and was sentenced with capital punishment.,Randeep Hooda,Sarbjit Biography Drama Biopic of Sarabjit Singh  a farmer residing at Bhikiwind  Punjab  near the Indo-Pak border  crossed the border after having a couple of drinks. However  he was mistaken to be an Indian spy and was sentenced with capital punishment. Randeep Hooda
294,Veerappan,2016,Action Biography Crime,Officer Kannan leads a group of police officers to track down the bandit  Veerappan.,Sachiin Joshi,Veerappan Action Biography Crime Officer Kannan leads a group of police officers to track down the bandit  Veerappan. Sachiin Joshi
295,Do Lafzon Ki Kahani,2016,Action Drama Romance,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,Kajal Aggarwal,Do Lafzon Ki Kahani Action Drama Romance Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship. Kajal Aggarwal
296,Te3n,2016,Drama Mystery Thriller,A grandfather  a priest  and a police officer investigate the case of a kidnapped child.,Amitabh Bachchan,Te3n Drama Mystery Thriller A grandfather  a priest  and a police officer investigate the case of a kidnapped child. Amitabh Bachchan
297,Udta Punjab,2016,Action Crime Drama,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Shahid Kapoor,Udta Punjab Action Crime Drama A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline. Shahid Kapoor
298,khel toh ab shuru hoga,2016,Action Thriller,A bank security guard Abbas (Ruslaan) ploys to loot his own bank with a little help from his allies. The robbery doesn't end well and he must fight to save the love of his life.,Hazel Croney,khel toh ab shuru hoga Action Thriller A bank security guard Abbas (Ruslaan) ploys to loot his own bank with a little help from his allies. The robbery doesn't end well and he must fight to save the love of his life. Hazel Croney
299,Luv U Alia,2015,Family Romance,Can a boy in love win over his beloved's heart and change her views on love and commitment?,V. Ravichandran,Luv U Alia Family Romance Can a boy in love win over his beloved's heart and change her views on love and commitment? V. Ravichandran
300,7 Hours to Go,2016,Crime Thriller,The film is a fast paced investigative thriller set in Mumbai  present day. Inspired by true event  the film revolves around a hostage crisis and what happens within 7 hours after that incident.,Vipin Sharma,7 Hours to Go Crime Thriller The film is a fast paced investigative thriller set in Mumbai  present day. Inspired by true event  the film revolves around a hostage crisis and what happens within 7 hours after that incident. Vipin Sharma
301,Raman Raghav 2.0,2016,Crime Drama Thriller,Ramanna  a maniac murderer  finds a soulmate in Raghavan  a policeman  who inspects his murder cases. He tries to make Raghavan realize how they both are similar.,Nawazuddin Siddiqui,Raman Raghav 2.0 Crime Drama Thriller Ramanna  a maniac murderer  finds a soulmate in Raghavan  a policeman  who inspects his murder cases. He tries to make Raghavan realize how they both are similar. Nawazuddin Siddiqui
302,Junooniyat,2016,Drama Romance,Captain Jahan Bakshi rescues a Punjabi girl  Suhani. This starts a friendship that evolves into a passionate love affair.,Pulkit Samrat,Junooniyat Drama Romance Captain Jahan Bakshi rescues a Punjabi girl  Suhani. This starts a friendship that evolves into a passionate love affair. Pulkit Samrat
303,Rough Book,2016,Drama,Rough Book is a hard look at the education system in contemporary India. Though one of the finest systems in the world  the lacunae in the system have created issues. The story is told to ...                    ,Tannishtha Chatterjee,Rough Book Drama Rough Book is a hard look at the education system in contemporary India. Though one of the finest systems in the world  the lacunae in the system have created issues. The story is told to ...                     Tannishtha Chatterjee
304,Dhanak,2015,Drama,Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight  a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.,Krrish Chhabria,Dhanak Drama Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight  a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar. Krrish Chhabria
305,Fredrick,2016,Action Thriller,A suspended cop and his wife try to find out his sister when he gets caught in a human trafficking nexus. But the mastermind behind this is someone unknown to everyone.,Avinash Dhyani,Fredrick Action Thriller A suspended cop and his wife try to find out his sister when he gets caught in a human trafficking nexus. But the mastermind behind this is someone unknown to everyone. Avinash Dhyani
306,Dil Toh Deewana Hai,2016,Drama Romance,Raja(Haider Khan) is a guy who has always remained a 'good friend' to most of the girls  that is if they have not already beaten him up! He has always been shy  never to open his heart out....                    ,Zeenat Aman,Dil Toh Deewana Hai Drama Romance Raja(Haider Khan) is a guy who has always remained a 'good friend' to most of the girls  that is if they have not already beaten him up! He has always been shy  never to open his heart out....                     Zeenat Aman
307,Sultan,2016,Action Drama Sport,Sultan is a classic underdog tale about a wrestler's journey  looking for a comeback by defeating all odds.,Salman Khan,Sultan Action Drama Sport Sultan is a classic underdog tale about a wrestler's journey  looking for a comeback by defeating all odds. Salman Khan
308,Brahman Naman,2016,Comedy,A champion college quizzing team try to win the all-India finals and lose their virginities.,Shashank Arora,Brahman Naman Comedy A champion college quizzing team try to win the all-India finals and lose their virginities. Shashank Arora
309,Great Grand Masti,2016,Comedy Drama Fantasy,Amar  Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of  but she slowly turns into their worst nightmare!,Urvashi Rautela,Great Grand Masti Comedy Drama Fantasy Amar  Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of  but she slowly turns into their worst nightmare! Urvashi Rautela
310,Waiting,2015,Drama,Shiv and Tara support each other while their partners are healing at the hospital.,Naseeruddin Shah,Waiting Drama Shiv and Tara support each other while their partners are healing at the hospital. Naseeruddin Shah
